treatment,source_file,ttft_mean_s,ttft_p50_s,ttft_p99_s,tpot_mean_s,tpot_p99_s,itl_mean_s,itl_p99_s,e2e_mean_s,e2e_p99_s,output_tps,request_qps,total_tps,total_requests,failures,session_rate_qps,session_duration_mean_s,session_duration_p50_s,session_duration_p99_s,events_per_session_mean,events_cancelled_per_session_mean,input_tokens_per_session_mean,output_tokens_per_session_mean,total_sessions,failed_sessions,input_len_mean,output_len_mean,tool,rate_qps
agentgateway,"benchmark_report_v0.2,_stage_0_lifecycle_metrics.json.yaml",0.004477969499809357,0.003779188000407885,0.009736050000283287,1.0821038115948352e-05,3.988979501028032e-05,6.054104748763262e-06,4.875349946814809e-05,0.007347219466343328,0.014813224569334127,56.63938898012036,1.0354550087773375,457.2914470430315,30,0,,,,,,,,,,,386.93333333333334,54.7,inference-perf,1.0
baseline,"benchmark_report_v0.2,_stage_0_lifecycle_metrics.json.yaml",0.0018351791665433363,0.0013407505011855392,0.007038354678916222,1.1484083643099361e-05,2.1415822187918826e-05,6.4481293079894444e-06,7.84749992453724e-05,0.004841683266567998,0.014182616707694256,52.99985343635416,1.02448170302231,446.43497678702187,30,0,,,,,,,,,,,384.03333333333336,51.733333333333334,inference-perf,1.0
